"id", "mean_ThinQR_time_elapsed","std_ThinQR_time_elapsed", "mean_QR_time_elapsed", "std_QR_time_elapsed", "mean_mQR_time_elapsed", "std_mQR_time_elapsed"
309,1.9398,0.062823,1.1213,0.011904,0.0041053,0.00041357
310,2.3755,0.12756,1.2679,0.021467,0.004871,0.00029008
311,3.2532,0.070278,1.3628,0.017378,0.0058878,0.00078866
312,3.6345,0.062746,1.4848,0.013889,0.0067304,0.0005988
313,4.2989,0.19752,1.6255,0.18493,0.010073,0.0034115
314,4.4882,0.39753,1.7253,0.15298,0.0096804,0.0016843
315,4.6083,0.030902,1.8339,0.14735,0.0070646,0.00031892
316,5.0727,0.15041,2.0523,0.052056,0.0079296,0.0005162
317,5.5675,0.081426,1.9865,0.073467,0.0087721,0.00060711
318,6.0836,0.041246,2.1574,0.11839,0.010068,0.0010866
319,7.2055,0.33034,2.3339,0.092995,0.011127,0.0010417
320,6.955,0.12367,2.4974,0.041717,0.011635,0.00075749
321,0.093799,0.016458,0.11173,0.0095822,0.00030716,0.00022038
322,0.16107,0.03144,0.27682,0.00066271,0.00043894,7.0837e-05
323,0.37656,0.024719,0.42024,0.022326,0.00071863,5.8489e-05
324,0.48723,0.05353,0.54899,0.0084478,0.0011365,0.00015334
325,0.77638,0.019732,0.67663,0.0033615,0.0016342,0.00036049
326,1.0344,0.08555,0.81692,0.015209,0.0020844,0.000165
327,1.4098,0.084069,0.96295,0.03366,0.002865,0.00057476
328,1.7608,0.031687,1.0842,0.016652,0.0032133,4.6969e-05
329,2.1021,0.070659,1.2208,0.012342,0.0043473,0.00031356
330,2.63,0.041923,1.3765,0.0094034,0.0050727,0.00038204
331,3.0342,0.020604,1.5015,0.020624,0.0064636,0.0012739
332,3.9311,0.063114,1.6302,0.035014,0.0068502,0.00037991
333,4.0578,0.031091,1.6998,0.13872,0.0087865,0.0023807
334,4.4713,0.022841,1.8901,0.047627,0.0091312,0.00066936
335,4.9094,0.03055,1.9722,0.038348,0.0070383,0.00033106
336,5.9582,0.35939,2.2689,0.12978,0.0096161,0.0019891
337,6.2446,0.30922,2.2831,0.14995,0.0091597,0.0006697
338,6.4218,0.051176,2.3462,0.067997,0.010317,0.0012898
339,6.8813,0.11827,2.5348,0.065236,0.011209,0.00034576
340,7.3499,0.15901,2.495,0.11986,0.011923,0.00035453
341,0.084969,0.0055022,0.11034,0.0020636,0.0002228,7.3305e-06
342,0.16757,0.03727,0.29482,0.010169,0.00039415,5.1249e-06
343,0.39896,0.013021,0.4361,0.0039506,0.00066633,1.2843e-05
